

lambda, Y
9e-07, 4.06801e-16
8.88778e-07, 4.12224e-16
8.77833e-07, 4.49916e-16
8.67153e-07, 5.2889e-16
8.56731e-07, 6.34308e-16
8.46556e-07, 7.38514e-16
8.3662e-07, 8.21249e-16
8.26914e-07, 8.85209e-16
8.17431e-07, 9.56105e-16
8.08163e-07, 1.067e-15
7.99103e-07, 1.23749e-15
7.90244e-07, 1.46219e-15
7.81579e-07, 1.717e-15
7.73102e-07, 1.97956e-15
7.64807e-07, 2.25053e-15
7.56688e-07, 2.56099e-15
7.48739e-07, 2.96037e-15
7.40956e-07, 3.49259e-15
7.33333e-07, 4.17706e-15
7.25866e-07, 5.00903e-15
7.18548e-07, 5.98136e-15
7.11377e-07, 7.11409e-15
7.04348e-07, 8.46918e-15
6.97456e-07, 1.0133e-14
6.90698e-07, 1.21665e-14
6.84069e-07, 1.45426e-14
6.77567e-07, 1.7104e-14
6.71186e-07, 1.95682e-14
6.64925e-07, 2.15877e-14
6.5878e-07, 2.28469e-14
6.52747e-07, 2.31582e-14
6.46824e-07, 2.25182e-14
6.41007e-07, 2.11024e-14
6.35294e-07, 1.92018e-14
6.29682e-07, 1.71298e-14
6.24168e-07, 1.5138e-14
6.1875e-07, 1.33695e-14
6.13425e-07, 1.18606e-14
6.08191e-07, 1.05783e-14
6.03046e-07, 9.46969e-15
5.97987e-07, 8.4975e-15
5.93012e-07, 7.6516e-15
5.88119e-07, 6.93791e-15
5.83306e-07, 6.35901e-15
5.78571e-07, 5.90082e-15
5.73913e-07, 5.53293e-15
5.69329e-07, 5.22034e-15
5.64818e-07, 4.93767e-15
5.60377e-07, 4.67673e-15
5.56006e-07, 4.44344e-15
5.51703e-07, 4.24729e-15
5.47465e-07, 4.09059e-15
5.43293e-07, 3.96406e-15
5.39183e-07, 3.8508e-15
5.35135e-07, 3.73544e-15
5.31148e-07, 3.61215e-15
5.27219e-07, 3.48677e-15
5.23348e-07, 3.37193e-15
5.19534e-07, 3.27875e-15
5.15774e-07, 3.21009e-15
5.12069e-07, 3.15946e-15
5.08417e-07, 3.11566e-15
5.04816e-07, 3.06998e-15
5.01266e-07, 3.02137e-15
4.97765e-07, 2.97663e-15
4.94313e-07, 2.94578e-15
4.90909e-07, 2.93565e-15
4.87551e-07, 2.94568e-15
4.84239e-07, 2.96834e-15
4.80972e-07, 2.9937e-15
4.77748e-07, 3.01505e-15
4.74567e-07, 3.03243e-15
4.71429e-07, 3.05167e-15
4.68331e-07, 3.08011e-15
4.65274e-07, 3.12134e-15
4.62257e-07, 3.17243e-15
4.59278e-07, 3.22512e-15
4.56338e-07, 3.27012e-15
4.53435e-07, 3.30191e-15
4.50569e-07, 3.3212e-15
4.47739e-07, 3.33363e-15
4.44944e-07, 3.34563e-15
4.42184e-07, 3.36006e-15
4.39457e-07, 3.37417e-15
4.36765e-07, 3.38117e-15
4.34105e-07, 3.37426e-15
4.31477e-07, 3.35077e-15
4.28881e-07, 3.31387e-15
4.26316e-07, 3.27076e-15
4.23781e-07, 3.2285e-15
4.21277e-07, 3.18996e-15
4.18801e-07, 3.15225e-15
4.16355e-07, 3.10866e-15
4.13937e-07, 3.0529e-15
4.11547e-07, 2.98317e-15
4.09185e-07, 2.90368e-15
4.06849e-07, 2.82254e-15
4.0454e-07, 2.74743e-15
4.02257e-07, 2.68138e-15
4e-07, 2.62128e-15




lambda, Y
9e-07, 2.5889e-16
8.88778e-07, 2.89544e-16
8.77833e-07, 3.26264e-16
8.67153e-07, 3.65736e-16
8.56731e-07, 4.05167e-16
8.46556e-07, 4.44777e-16
8.3662e-07, 4.88509e-16
8.26914e-07, 5.4227e-16
8.17431e-07, 6.107e-16
8.08163e-07, 6.94589e-16
7.99103e-07, 7.90871e-16
7.90244e-07, 8.95599e-16
7.81579e-07, 1.0083e-15
7.73102e-07, 1.13493e-15
7.64807e-07, 1.28731e-15
7.56688e-07, 1.47882e-15
7.48739e-07, 1.71897e-15
7.40956e-07, 2.01052e-15
7.33333e-07, 2.35187e-15
7.25866e-07, 2.74455e-15
7.18548e-07, 3.20176e-15
7.11377e-07, 3.75213e-15
7.04348e-07, 4.43382e-15
6.97456e-07, 5.27834e-15
6.90698e-07, 6.28886e-15
6.84069e-07, 7.42191e-15
6.77567e-07, 8.58189e-15
6.71186e-07, 9.63357e-15
6.64925e-07, 1.04311e-14
6.5878e-07, 1.08546e-14
6.52747e-07, 1.08425e-14
6.46824e-07, 1.04078e-14
6.41007e-07, 9.63275e-15
6.35294e-07, 8.64442e-15
6.29682e-07, 7.58069e-15
6.24168e-07, 6.55765e-15
6.1875e-07, 5.64913e-15
6.13425e-07, 4.88257e-15
6.08191e-07, 4.24919e-15
6.03046e-07, 3.72168e-15
5.97987e-07, 3.27132e-15
5.93012e-07, 2.87854e-15
5.88119e-07, 2.53512e-15
5.83306e-07, 2.24005e-15
5.78571e-07, 1.99323e-15
5.73913e-07, 1.79095e-15
5.69329e-07, 1.62507e-15
5.64818e-07, 1.48538e-15
5.60377e-07, 1.36309e-15
5.56006e-07, 1.25322e-15
5.51703e-07, 1.15469e-15
5.47465e-07, 1.06847e-15
5.43293e-07, 9.95193e-16
5.39183e-07, 9.33511e-16
5.35135e-07, 8.8015e-16
5.31148e-07, 8.31221e-16
5.27219e-07, 7.83909e-16
5.23348e-07, 7.37473e-16
5.19534e-07, 6.93056e-16
5.15774e-07, 6.52532e-16
5.12069e-07, 6.17161e-16
5.08417e-07, 5.86807e-16
5.04816e-07, 5.60098e-16
5.01266e-07, 5.35312e-16
4.97765e-07, 5.114e-16
4.94313e-07, 4.88521e-16
4.90909e-07, 4.67841e-16
4.87551e-07, 4.50755e-16
4.84239e-07, 4.38046e-16
4.80972e-07, 4.29464e-16
4.77748e-07, 4.23933e-16
4.74567e-07, 4.20215e-16
4.71429e-07, 4.17622e-16
4.68331e-07, 4.16336e-16
4.65274e-07, 4.17187e-16
4.62257e-07, 4.21038e-16
4.59278e-07, 4.28148e-16
4.56338e-07, 4.37894e-16
4.53435e-07, 4.48985e-16
4.50569e-07, 4.60044e-16
4.47739e-07, 4.7021e-16
4.44944e-07, 4.79419e-16
4.42184e-07, 4.88228e-16
4.39457e-07, 4.97293e-16
4.36765e-07, 5.06827e-16
4.34105e-07, 5.16338e-16
4.31477e-07, 5.24808e-16
4.28881e-07, 5.31195e-16
4.26316e-07, 5.3497e-16
4.23781e-07, 5.36383e-16
4.21277e-07, 5.363e-16
4.18801e-07, 5.35708e-16
4.16355e-07, 5.35159e-16
4.13937e-07, 5.34462e-16
4.11547e-07, 5.32798e-16
4.09185e-07, 5.29196e-16
4.06849e-07, 5.23097e-16
4.0454e-07, 5.14712e-16
4.02257e-07, 5.04954e-16
4e-07, 4.94999e-16


